reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,en_content
f7523fb0-5efa-411d-9629-7b79ec0347b8,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,voice recognition nya tolong dong di perbaikin. sudah benar dan sama dengan penuturan aslinya tetap saja hasilnya salah. one of the error English application,3,2,7.9.3,2025-09-25 17:18:36,"Hi beloved learner,
We apologize that you're experiencing this issue. We’d love to assist you quickly. Could you share more details (e.g., your account information) at support@elsanow.io or via our live chat channel at https://elsaspeak.com/en/contact/? Thanks so much for your help in making things better!",2025-09-25 17:51:12,7.9.3,"The voice recognition please fix it. It is correct and the same as the original narration, the results are still wrong. One of the Error English Application"
e60b71ed-1ed4-425e-8562-2c0f40591cc4,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,kalau hanya minta saya untuk berlangganan apk ini tolong konfirmasi sama pihak terkait karna saya kena biaya yang sangat mahal 969000 hampir satu juta buat apk ini jadi tolong go back my money plisss,1,0,7.9.5,2025-09-30 21:19:21,"Hi beloved learner,
We apologize that you're experiencing this issue. We’d love to assist you quickly. Could you share more details (e.g., your account information) at support@elsanow.io or via our live chat channel at https://elsaspeak.com/en/contact/? Thanks so much for your help in making things better!",2025-09-30 21:35:13,7.9.5,"If you only ask me to subscribe to this APK, please confirm with related parties because I have a very expensive cost of 969000 for almost one million for this APK so please go back my money plisss"
7b666827-5dfa-42c8-9517-3016686c85c9,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"aku baru aja download aplikasi ini karena direkomendasikan katanya aplikasi ini bagus untuk improve my English. Aku baru aja belajar sampe lesson 2, waktu mau ke 3 udah harus premium dan gabisa mainin apapun lagi, menurut aku keterlaluan si karena baru banget download belum ada sampe 10 menit udah gabisa dimainin, ada yang bisa beri tips ga takutnya emang aku gatau knp begini, atau emang beneran aplikasinya keterlaluan",2,26,7.8.5,2025-07-19 09:10:38,"Terima kasih atas masukan Anda!

Harga kami mencerminkan nilai dan kualitas konten serta fitur yang kami tawarkan. Kami berusaha memberikan pengalaman belajar terbaik dan sering menawarkan diskon untuk para pengguna. Untuk informasi lebih lanjut mengenai diskon yang tersedia, silakan hubungi kami di support@elsanow.io.

Terima kasih!",2025-07-25 20:50:15,7.8.5,"I just downloaded this application because it was recommended that this application was good for improving my english. I just learned until Lesson 2, when I wanted to go to 3, I had to premium and I couldn't play anything else, in my opinion, it was too much because I really didn't have to download it until 10 minutes, I can't play it, there are those who can give tips not afraid that I don't know why, or really the application is too much"
a62383c7-0366-49f4-9d79-4698ee73e5ba,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Saya telah membayar paket Elsa Pro 1 tahun pada tanggal 7 melalui pembayaran m-banking, namun hingga hari ini terhitung 3 hari setelah pembayaran layanan belum saya terima. Saya sudah menghubungi support via (email dan chat), tapi tak ada respon sama sekali",1,15,7.8.7,2025-08-10 17:23:49,"Hi beloved learner,
We’re really sorry to hear about your experience with our support team. That’s not what we aim for at all! If you still have any unresolved issues, please don’t hesitate to reach out to us again. We would love the chance to make things right for you!",2025-08-12 16:11:03,7.8.7,"I paid the Elsa Pro 1 year package on the 7th through M-Banking payments, but to this day I have not received 3 days after the service payment has not been received. I have contacted support via (email and chat), but there is no response at all"
998e171c-9c20-4a91-b7d8-70f72240f8c6,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"agak kecewa,tiap main gatau kenapa ngefreeze terus, padahal device aku dah bagus,tapi kenapa setiap belajar 5menit malah ngefreeze terus, tolong dong di fix ini bug",1,15,7.8.6,2025-07-25 21:20:20,"Hi beloved learner,
We apologize that you're experiencing this issue. We’d love to assist you quickly. Could you share more details (e.g., your account information) at support@elsanow.io or via our live chat channel at https://elsaspeak.com/en/contact/? Thanks so much for your help in making things better!",2025-07-25 21:35:36,7.8.6,"a little disappointed, every time I play why you keep on, even though my device is good, but why every time you learn 5 minutes, you keep on, please please fix this bug"
92790325-9ae7-462b-a6a2-c461149b1aec,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Overall good, aplikasi yang bagus untuk menunjang belajar bahasa Inggris baik speaking dan reading cocok untuk pemula maupun intermediate.",5,52,7.8.7,2025-08-12 00:33:23,Terima kasih telah memberikan ulasan positif! Kami senang mendengar bahwa aplikasi kami dapat membantu Anda dalam belajar bahasa Inggris. Semoga terus menuai manfaat dari penggunaan aplikasi ini!,2025-08-12 00:36:21,7.8.7,"Overall good, a good application to support learning English both speaking and reading suitable for beginners and intermediates."
9eb90ac6-3553-467d-baaa-600e3a1529b3,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"ini parah sih, malam nya habis berlangganan yg premium, sorenya mau buka aplikasinya masak loading terus terusan, tidak bisa di akses.. tolong segera di perbaiki..",2,8,7.8.6,2025-07-24 17:33:49,"Thanks for bringing this to our attention! If you're experiencing audio or recording issues, please ensure you’ve updated to the latest version and have a stable internet connection. If the problem persists, don’t hesitate to contact us via support@elsannow.io or the live chat at elsaspeak.com/en/contact/ so we can look into it further.",2025-08-07 17:52:55,7.8.6,"This is severe, the night after subscribing to a premium, in the afternoon I want to open the application to cook loading and the canal, can't be accessed ... please fix it immediately .."
ce5312bb-3658-424c-a3e2-fd5e080648bc,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"bagus sih buat latih pronunciation, tapi apk sering tidak menanggapi, sering lag",3,0,7.9.5,2025-09-25 16:02:32,"Thanks for bringing this to our attention! If you're experiencing audio or recording issues, please ensure you’ve updated to the latest version and have a stable internet connection. If the problem persists, don’t hesitate to contact us via support@elsannow.io or the live chat at elsaspeak.com/en/contact/ so we can look into it further.",2025-09-25 16:20:28,7.9.5,"good for training pronunciation, but the apk often does not respond, often lag"
e42f9a35-78ae-4c60-9b68-18b42dbca872,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bagus aplikasinya buat belajar bahasa inggris. cuma kadang AI-nya agak ngebug (ngulang beberapa frasanya),4,2,7.8.9,2025-08-26 05:56:30,"Terima kasih telah menggunakan aplikasi kami untuk belajar bahasa Inggris! Maaf atas kendala dengan AI, akan kami sampaikan kepada tim teknis kami untuk perbaikan.",2025-08-26 06:40:16,7.8.9,good application for learning English. Only sometimes the AI ​​is a bit nagged (repeating a few fragments)
25c2f9fd-e11f-4ec9-bcf5-0c21b5819352,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasinya bagus cuma bikin HP ngelag, dan gak bisa di pakai. Lag parah padahal RAM 4GB space 70GB",1,4,7.8.6,2025-08-07 17:42:14,"Thanks for bringing this to our attention! If you're experiencing audio or recording issues, please ensure you’ve updated to the latest version and have a stable internet connection. If the problem persists, don’t hesitate to contact us via support@elsannow.io or the live chat at elsaspeak.com/en/contact/ so we can look into it further.",2025-08-07 17:50:26,7.8.6,"The application is good just to make a cellphone slag, and can't be used. Lag severe even though 4GB of RAM space 70GB"
